track_id,spot_id,mask_id,fr,X,Y,area,mean,edge,p_death
0,30325,30,33,104,652,408.127,1.73242,False,0.02965
0,30006,33,26,146,661,604.531,2.48321,False,0.90071
0,30584,30,40,68,599,745.178,1.00724,False,0.00521
0,30840,33,44,60,582,762.005,0.93420,False,0.00269
0,29433,28,16,136,647,1829.918,0.73990,False,0.03240
1,30592,42,37,162,1107,856.942,0.66986,False,0.13279
1,31360,47,52,136,1100,1051.838,0.74780,False,0.08021
1,30210,44,31,168,1108,620.856,0.75091,False,0.19905
1,29449,45,14,183,1106,322.735,1.71425,False,0.63876
1,30858,51,44,159,1108,825.548,0.68603,False,0.13691
1,30603,46,38,160,1110,901.145,0.65205,False,0.54978
1,30348,42,34,161,1102,873.769,0.64179,False,0.45435
1,30743,46,41,158,1112,912.950,0.65108,False,0.14507
1,31385,49,54,131,1098,928.019,0.79286,False,0.40677
1,29338,45,10,193,1108,265.722,2.06720,False,0.49287
1,29852,44,22,154,1094,700.472,0.78387,False,0.48143
1,29982,46,27,165,1107,515.120,0.73798,False,0.18777
1,29856,41,20,158,1098,620.605,0.88032,False,0.09172
1,29989,39,25,165,1104,502.813,0.79450,False,0.13938
1,31141,50,48,140,1102,943.339,0.72020,False,0.08067
1,29862,42,21,158,1097,634.669,0.87366,False,0.16320
1,30631,45,40,160,1112,879.044,0.67038,False,0.13308
1,29485,43,16,177,1106,426.964,1.21272,False,0.10930
1,30381,42,33,161,1103,813.241,0.65804,False,0.14703
1,29617,42,19,160,1098,599.759,0.91497,False,0.06170
1,29877,42,24,152,1090,824.292,0.67562,False,0.15127
1,30648,48,39,164,1112,868.495,0.66377,False,0.21761
1,31160,47,49,136,1101,941.330,0.74517,False,0.39408
1,29113,46,1,227,1174,133.866,0.66618,False,0.01261
1,29114,42,7,191,1104,271.750,1.97286,False,0.05034
1,29371,44,12,187,1107,276.271,1.97709,False,0.11338
1,30267,45,32,170,1110,622.363,0.74112,False,0.16508
1,29500,44,15,178,1105,420.434,1.33766,False,0.08035
1,29122,43,6,192,1122,268.987,2.26462,False,0.44210
1,29634,42,17,173,1104,478.451,1.08442,False,0.15024
1,29762,43,23,164,1102,533.203,0.87559,False,0.17411
1,31173,46,51,135,1099,955.646,0.76225,False,0.04502
1,30790,46,42,159,1106,786.116,0.71099,False,0.50674
1,29513,45,9,191,1110,264.969,2.09970,False,0.20961
1,30026,44,26,168,1105,529.435,0.73924,False,0.44320
1,29133,47,2,215,1163,476.442,1.11004,False,0.58426
1,29650,42,18,164,1103,542.495,0.97957,False,0.65704
1,31058,47,47,151,1106,733.374,0.83841,False,0.16868
1,30419,44,35,163,1106,801.185,0.69270,False,0.20968
1,29268,45,13,188,1106,294.605,1.85733,False,0.19924
1,29402,42,11,191,1107,251.406,2.15896,False,0.10736
1,30814,49,43,158,1109,828.813,0.69208,False,0.17884
1,30951,49,45,156,1112,836.850,0.67581,False,0.13646
1,29041,40,8,197,1108,264.718,1.94037,False,0.08970
1,30065,43,28,169,1107,522.654,0.73530,False,0.20124
1,30194,44,30,167,1110,559.323,0.72374,False,0.57665
1,30963,48,46,158,1110,825.799,0.73230,False,0.51578
1,30452,50,36,166,1107,829.817,0.68231,False,0.20964
1,31349,45,53,133,1097,903.155,0.79679,False,0.46672
1,30203,47,29,171,1108,500.804,0.71701,False,0.07493
1,31228,48,50,134,1103,1005.877,0.72372,False,0.48556
2,28930,14,2,837,276,1003.114,0.54138,False,0.85636
2,28931,16,6,830,272,1039.030,0.53440,False,0.89041
2,30724,19,42,805,259,363.422,1.43572,False,0.92829
2,31109,21,51,805,256,362.166,1.40260,False,0.02034
